PMP Deal Name/Title,Unique Monthly Reach,Category,Subcategory,Subcategory Gradient (Hex Codes),Description,"Persona Playbook  (New Tab in place of ""Data"")","TrueX Attention & Sentiment Surveys (within the new ""Persona Playbook"" Tab)","Gimbal Location SDK Breadcrumb-enabled POIs (within the new ""Persona Playbook"" Tab)",Predictive Storyboards (Tab Header within View Details Modal),"Channel & Device Mix (Within ""Predictive Storyboards"" Tab)",,
What If We Kissed In The Quad?,35M,Meeting Moments,Back To College,#4B5563 → #9CA3AF,"Captures Gen Z college students navigating back-to-school existentialism driven by their need for identity in a digital age. Combine with upper to lower funnel ads for brands in categories such as business & career, community, apparel, tech, and their intersections. Alcohol, tobacco, and other sensitive verticals can also thrive in this moment ;) ","Audience Segments: Campus Trendsetters, Freshmen Explorers; Signal Sources: Gimbal SDK (bookstore, quad, local eateries; dwell >30 min, frequency 2x/week), TrueX Surveys (social media influence, viewership patterns); Behavioral Drivers: Mobile usage, social engagement; Retargeting Logic: Viewshed near dorms, education ad clickers; Modeled with Infillion’s XGraph and cluster segmentation for targeting precision.","Which campus activities influence your purchases?

How often do you shop for clothing or tech? 

What student discounts do you seek?

Which social media platforms inspire you?

Do you prefer interactive ad elements?","University campus/quad stores, around the college campus/quad stores/bookstores (i.e. campus bookstores, college apparel stores, university bookstores, larger stores/bookstores such as Barnes & Noble, Powell's Books, necessity/convenience stores near/on campus (Target, 7-11, Safeway, etc.), restaurants (QSR such as In N Out, Chick Fil A, Taco Bell, and local eatery POIs), coffee shops (i.e. Peets, Starbucks, Dunkin', and local beanery POIs), clothing stores (hypebeast to boutique to larger retailers such as Abercrombie or Hot Topic), and other smaller Mom & Pop boutique stores/bookstores that are localized), dwell time ranges per category and time of day for POIs: 15–45 min, frequency across visits to POIs: 3–5 visits/week, historical lookback window January 2025 to TTL refresh window every 30 days. ","Upper Funnel: Vertical Video – optimized for passive VCR uplift; Mid Funnel: Filmstrip Slider – enables brand-controlled storytelling; Lower Funnel: Add-To-Wallet – eliminates landing page friction. Plus: Open Web retargeting on mobile/desktop display during study breaks. Formats selected based on persona alignment, survey responses, and past creative performance.","Programmatic OpenWeb Video (Education Apps, Retail Sites), Display (Banners on Tech Blogs); Devices: iPhone 13+, Samsung Galaxy A54 (Android 13+), Laptops (HP Pavilion); OS: iOS 16+, Android 13+; Carriers: T-Mobile, AT&T; Cross-device: Household clusters for phone-to-laptop during after-school shopping (3 PM → 7 PM) and weekend mall runs (11 AM → 4 PM).",,Channel & Device Mix
Hard Launch Season,29M,Meeting Moments,Romance,#BE185D → #F9A8D4,"When love goes public, it’s a full-on flex. This deal targets couples ready to hard-launch their relationships with grand gestures—think date nights, gift splurges, and Insta-worthy moments. Perfect for jewelry, dining, or travel brands aiming to capture the butterflies and bragging rights of new romance with a cheeky, heart-eyed smirk.","Audience Segments: Lovestruck Launchers, Romantic Show-offs; Signal Sources: Gimbal SDK (jewelry stores, upscale restaurants, florists; dwell >30 min, frequency 2x/week), TrueX Surveys (relationship milestones, purchase intent); Behavioral Drivers: App-driven planning, premium purchases; Retargeting Logic: Date-night venue visitors, romance ad clickers; Modeled with Infillion’s XGraph for love-based targeting.","How often do you plan romantic dates?

Which brands elevate your love game?

What’s your go-to date-night spot?

Which App do you use to find matches, if any?","Jewelry stores (i.e., Kay Jewelers, Zales, Tiffany & Co., local jewelers), upscale restaurants (i.e., Ruth's Chris, The Capital Grille, farm-to-table bistros), florists (i.e., 1-800-Flowers, local floral boutiques), boutique retail (i.e., Anthropologie, Nordstrom, curated gift shops); dwell time: 30 → 60 min, frequency: 2 → 4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures lovey-dovey vibes; Mid Funnel: Romantic Gift Guides – inspires purchases; Lower Funnel: Book Now CTAs – drives reservations or buys. Plus: Open Web retargeting during date planning and gift browsing. Formats optimized via Predictive Intelligence for engagement.,"Programmatic OpenWeb Video (Lifestyle Apps, Romance Blogs), Display (Banners on Gift Retail Sites); Devices: iPhone 14+ (iOS 16+), Samsung Galaxy S23 (Android 13+), Laptops (MacBook Air, HP Spectre); Carriers: AT&T, Verizon; OS: iOS 16+, Android 13+; Cross-device: Individual-level tracking via XGraph for phone-to-laptop during evening date planning (6 PM–9 PM) and weekend gift shopping (11 AM–3 PM).",,
FOOTBALL SZN,45M,Meeting Moments,Tailgate Takeover,#1E3A8A → #60A5FA,"The gridiron calls, and the fans answer with beer-soaked bravado and tribal loyalty. This deal captures the electric pulse of football season, from tailgates to sports bars, targeting fans who live for the snap count and post-game debates. Perfect for brands in sports betting, snacks, or athleisure aiming to ride the adrenaline wave.","Audience Segments: Diehard Fans, Casual Tailgaters; Signal Sources: Gimbal SDK (stadiums, sports bars, retail sporting goods; dwell >1 hr, frequency 2x/week), TrueX Surveys (fan loyalty, betting habits); Behavioral Drivers: Social media engagement, game-day rituals; Retargeting Logic: Stadium proximity, sports app users; Modeled with Infillion’s XGraph for hyper-local precision.","Which team merch do you buy? 

How often do you attend/watch games? 

What snacks fuel your game day? 

Which betting platforms do you use? 

Do interactive ads boost your brand recall?","Stadiums (NFL venues like SoFi Stadium, college football venues like Michigan Stadium), sports bars (i.e., Buffalo Wild Wings, Hooters, local pubs), retail sporting goods stores (i.e., Dick Sporting Goods, Academy Sports, Big5 Sporting Goods), QSRs near stadiums (i.e., Wingstop, Buffalo Wild Wings, McDonald's), convenience stores (i.e., 7-11, Circle K, Sheetz); dwell time: 1→ ì3 hrs, frequency: 2→ ì4 visits/week, historical lookback: August 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – maximizes VCR for hype moments; Mid Funnel: Interactive Quiz Ads – engages fan knowledge; Lower Funnel: Shop Now CTAs – drives instant purchases. Plus: Open Web retargeting during game breaks. Formats optimized via AI-driven creative performance analytics.,"Programmatic OpenWeb Video (Sports Sites, Streaming Apps), Display (Banner Ads on Fan Forums); Devices: iPhone 13+, Samsung Galaxy S22+ (Android 12+), Smart TVs (Roku, Amazon Fire), Gaming Consoles (PS5, Xbox Series X); Carriers: Verizon, AT&T; OS: iOS 15+, Android 12+; Cross-device: Household clusters via XGraph for phone-to-CTV targeting during game dayparts (Saturdays/Sundays, 12 PM–11 PM).",,
Unidos Unidos Unidos,60M,Meeting Moments,Hispanic Heritage Month,#7F1D1D → #F87171,"A vibrant celebration of Hispanic culture, this deal targets the proud, the passionate, and the family-oriented during Hispanic Heritage Month. It’s a full-funnel fiesta for brands in food, travel, or retail looking to connect with a diverse audience craving cultural resonance and spicy authenticity.","Audience Segments: Cultural Connectors, Young Familia; Signal Sources: Gimbal SDK (cultural festivals, Latin grocery stores, family restaurants; dwell >45 min, frequency 3x/week), TrueX Surveys (cultural pride, purchase drivers); Behavioral Drivers: Community engagement, mobile shopping; Retargeting Logic: Event attendees, ethnic food shoppers; Modeled with Infillion’s XGraph for cultural affinity.","What cultural events do you attend?

How do family traditions influence purchases? 

Which brands reflect your heritage? 

What’s your go-to platform for discovering products? 

Do you engage with bilingual ads?","Cultural festivals (i.e., Fiesta DC, Los Angeles Latino Heritage Festival), Latin grocery stores (i.e., El Super, Vallarta Supermarkets, Cardenas Markets), family-owned restaurants (i.e., local taquerias, pupuserias), community centers (i.e., local Hispanic cultural centers, YMCA with cultural programming); dwell time: 30→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: September 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – celebrates cultural pride; Mid Funnel: Carousel Ads – showcases product stories; Lower Funnel: Add-To-Cart – seamless purchase flow. Plus: Retargeting on mobile/CTV during family gatherings. Formats powered by Predictive Intelligence for engagement.,"Programmatic OpenWeb Video (Cultural Sites, Streaming Apps), Display (Banners on Community News Sites); Devices: iPhone 12+, Google Pixel 6+ (Android 12+), Smart TVs (Samsung, LG); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Sprint; Cross-device: Household clusters via XGraph for phone-to-CTV during family evenings (6 PM–10 PM).",,
Basic B Behavior,28M,Evergreen,Pumpkin Spice BBs,#6B7280 → #D1D5DB,"For the unapologetically basic, this deal targets pumpkin spice sippers and UGG-booted brunchers chasing cozy vibes year-round. Ideal for lifestyle, beauty, or coffee brands aiming to cash in on predictable yet profitable consumer habits with a side of self-aware snark.","Audience Segments: Brunch Besties, Trendy Traditionalists; Signal Sources: Gimbal SDK (coffee shops, boutique retail, yoga studios; dwell >30 min, frequency 3x/week), TrueX Surveys (lifestyle preferences, brand loyalty); Behavioral Drivers: Social media trends, influencer follows; Retargeting Logic: Coffee shop visitors, beauty ad clickers; Modeled with Infillion’s XGraph for trend alignment.","What’s your go-to coffee order? 

How often do you shop lifestyle brands? 

Which influencers shape your purchases? 

Do you prefer video or static ads? 

How important are seasonal deals?","Coffee shops (i.e., Starbucks, Peet Coffee, Dunkin, local cafes like Blue Bottle), boutique retail (i.e., Anthropologie, Free People, Urban Outfitters), yoga studios (i.e., CorePower Yoga, local studios), brunch spots (i.e., The Breakfast Club, local diners); dwell time: 20→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – taps into aesthetic vibes; Mid Funnel: Shoppable Stories – drives engagement; Lower Funnel: One-Tap Checkout – minimizes friction. Plus: Open Web retargeting during social scrolling. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Display (Lifestyle Blogs, Retail Sites), Video (Streaming Apps); Devices: iPhone 14+, Samsung Galaxy A54 (Android 13+), Laptops (MacBook Air, Dell XPS); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during morning coffee runs (7 AM–10 AM) and weekend brunch hours (10 AM–2 PM).",,
Weekend Warriors,50M,Evergreen,Performance,#15803D → #86EFAC,"These adrenaline junkies live for Saturday hikes, Sunday gym sessions, and crushing it outdoors. This deal targets fitness fanatics and adventure seekers for brands in activewear, gear, or energy drinks, with a nod to their ‘go hard or go home’ ethos.","Audience Segments: Fitness Freaks, Outdoor Enthusiasts; Signal Sources: Gimbal SDK (gyms, hiking trails, sporting goods stores; dwell >45 min, frequency 2x/week), TrueX Surveys (fitness goals, gear preferences); Behavioral Drivers: App usage, social challenges; Retargeting Logic: Trail visitors, fitness app users; Modeled with Infillion’s XGraph for activity-based targeting.","What’s your weekend workout routine? 

Which gear brands do you trust?
 
How often do you shop for activewear? 

What motivates your fitness goals? 

Do dynamic ads catch your eye?","Gyms (i.e., Planet Fitness, 24 Hour Fitness, Equinox), hiking trails (i.e., Runyon Canyon, local state parks), sporting goods stores (i.e., REI, Dick Sporting Goods, Academy Sports), outdoor retailers (i.e., Bass Pro Shops, Cabela); dwell time: 45→ ì90 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases epic adventures; Mid Funnel: Interactive Gear Guides – builds trust; Lower Funnel: Add-To-Cart – instant purchase flow. Plus: Retargeting on mobile during workout planning. Formats driven by AI-optimized creative performance.,"Programmatic OpenWeb Video (Fitness Apps, Outdoor Blogs), Display (Banner Ads on Sports Sites); Devices: Apple Watch (WatchOS 9+), Samsung Galaxy S23 (Android 13+), Smart TVs (Roku); OS: iOS 16+, Android 13+; Carriers: Verizon, T-Mobile; Cross-device: Household clusters for phone-to-wearable during pre-workout app checks (5 AM–8 AM) and post-hike browsing (3 PM–7 PM).",,
FLANNEL SZN,38M,Meeting Moments,Fall Fashion Frenzy,#B91C1C → #FCA5A5,"When the leaves turn, so do the wardrobes. This deal captures the flannel-obsessed, cider-sipping fall fanatics ready to flex their cozy aesthetic. Perfect for apparel, home decor, or seasonal food brands looking to lean into autumnal obsession with a witty edge.","Audience Segments: Cozy Curators, Fall Fashionistas; Signal Sources: Gimbal SDK (apple orchards, clothing stores, cafes; dwell >30 min, frequency 3x/week), TrueX Surveys (seasonal style, purchase triggers); Behavioral Drivers: Social media aesthetics, seasonal shopping; Retargeting Logic: Orchard visitors, apparel ad clickers; Modeled with Infillion’s XGraph for fall affinity.","What fall trends do you follow?

How often do you shop seasonal apparel?

Which cozy brands resonate?

What’s your go-to fall activity?

Do you engage with immersive ads?","Apple orchards (i.e., local farms, Carter Orchard), clothing stores (i.e., Gap, H&M, J.Crew), coffee shops (i.e., Starbucks, local roasters), fall festivals (i.e., local harvest fairs, pumpkin patches); dwell time: 30→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: September 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – evokes fall vibes; Mid Funnel: Lookbook Sliders – inspires style; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Open Web retargeting during cozy evenings. Formats optimized via Predictive Intelligence for engagement.,"Programmatic OpenWeb Display (Fashion Retail Sites, Lifestyle Blogs), Video (Streaming Lifestyle Content); Devices: iPhone 13+, Google Pixel 7 (Android 13+), Laptops (HP Spectre, MacBook Pro); OS: iOS 15+, Android 13+; Carriers: AT&T, Spectrum; Cross-device: Individual-level tracking for phone-to-laptop during evening style scrolls (7 PM–10 PM) and weekend shopping (11 AM–3 PM).",,
Ghouls Just Wanna Have Fun,42M,Meeting Moments,Halloween Hype,#4B0082 → #A78BFA,"Spooky season brings out the ghouls, goblins, and costume-crazed. This deal targets Halloween enthusiasts planning parties, trick-or-treating, or haunted house runs. Ideal for candy, costume, or entertainment brands ready to haunt the full funnel with devilish charm.","Audience Segments: Spooky Stans, Party Planners; Signal Sources: Gimbal SDK (party stores, haunted attractions, supermarkets; dwell >30 min, frequency 2x/week), TrueX Surveys (Halloween plans, purchase intent); Behavioral Drivers: Event planning, social sharing; Retargeting Logic: Costume shop visitors, spooky ad clickers; Modeled with Infillion’s XGraph for festive targeting.","What's your Halloween costume vibe?

How much do you spend on spooky decor?

Which candy brands dominate your basket?

What’s your go-to Halloween activity?

Do interactive ads scare up your interest?","Party stores (i.e., Party City, Spirit Halloween), haunted attractions (i.e., Universal Horror Nights, local haunts), supermarkets (i.e., Target, Walmart, Kroger), costume shops (i.e., local boutiques, Halloween Express); dwell time: 30→ ì60 min, frequency: 2→ ì4 visits/week, historical lookback: October 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – sets spooky mood; Mid Funnel: Interactive Polls – engages party planners; Lower Funnel: Add-To-Cart – seamless checkout. Plus: Retargeting on mobile/CTV during Halloween prep. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Entertainment Sites, Streaming Apps), Display (Banners on Retail Sites); Devices: iPhone 14+, Samsung Galaxy Z Fold (Android 12+), Smart TVs (Vizio, Samsung); OS: iOS 16+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-CTV during spooky season nights (8 PM–12 AM).",,
"""New Year, New Me""",55M,Meeting Moments,Resolution Rush,#064E3B → #6EE7B7,"January’s delusion of grandeur hits hard. This deal targets resolution-chasers dreaming of gym gains, meal preps, and self-improvement apps. Perfect for fitness, wellness, or tech brands capitalizing on the fleeting optimism of a new year.","Audience Segments: Goal Getters, Wellness Wannabes; Signal Sources: Gimbal SDK (gyms, health food stores, bookstores; dwell >45 min, frequency 3x/week), TrueX Surveys (resolution goals, app usage); Behavioral Drivers: App downloads, social motivation; Retargeting Logic: Gym visitors, wellness ad clickers; Modeled with Infillion’s XGraph for goal-driven targeting.","What's your top New Year’s resolution?

How often do you shop for wellness products?

Which apps support your goals?

What motivates your self-improvement?

Do dynamic ads inspire action?","Gyms (i.e., Planet Fitness, Equinox, Crunch Fitness), health food stores (i.e., Whole Foods, Sprouts, Trader Joe), bookstores (self-help sections at Barnes & Noble, indie bookstores), fitness retail (i.e., Lululemon, Nike); dwell time: 45→ ì90 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – inspires transformation; Mid Funnel: Progress Trackers – builds engagement; Lower Funnel: Subscription CTAs – drives sign-ups. Plus: Open Web retargeting during morning motivation. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Fitness Apps, Wellness Sites), Display (Banners on Self-Help Blogs); Devices: Apple Watch (WatchOS 9+), Google Pixel 8 (Android 13+), Laptops (Lenovo Yoga, MacBook Air); OS: iOS 16+, Android 13+; Carriers: AT&T, T-Mobile; Cross-device: Individual-level tracking for wearable-to-laptop during morning resolution checks (6 AM–9 AM) and evening wellness searches (7 PM–10 PM).",,
Boozy Bipeds,30M,Evergreen,Sensitive,#7C3AED → #C4B5FD,"In line with Infillion’s Ad Content Guidelines, this deal targets adults 21+ who savor craft cocktails, microbrews, or wine tastings with a side of sophistication. Ideal for alcohol brands navigating the boozy landscape with finesse and a wink.","Audience Segments: Craft Connoisseurs, Social Sippers; Signal Sources: TrueX Surveys (drinking habits, brand preferences); Behavioral Drivers: Social outings, premium purchases; Retargeting Logic: Bar proximity, alcohol ad clickers; Modeled with Infillion’s XGraph for taste-based targeting.","How often do you try new cocktails?

Which alcohol brands align with your vibe?

What’s your go-to nightlife spot?

Do you prefer video or static ads?

How important are exclusive deals?","In line with Infillion Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – showcases premium vibes; Mid Funnel: Interactive Tasting Guides – engages sippers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during nightlife hours. Formats optimized via Predictive Intelligence for engagement.,"Programmatic OpenWeb Video (Lifestyle Sites, Streaming Apps), Display (Banners on Nightlife Blogs); Devices: iPhone 13+, Samsung Galaxy S22 (Android 12+), Smart TVs (LG, Sony); OS: iOS 15+, Android 12+; Carriers: Verizon, Spectrum; Cross-device: Household clusters for phone-to-CTV during nightlife hours (9 PM–1 AM).",,
